from,to,company,subject,body,status,next_follow_up
cybertenderbusiness@gmail.com,contact@cyfor.co.uk,CYFOR,Re: public-sector cyber tenders,"Hi CYFOR team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for digital forensics opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,hello@forensiccontrol.com,Forensic Control,Re: public-sector cyber tenders,"Hi Forensic Control team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for digital forensics opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,enquiries@athenaforensics.co.uk,Athena Forensics,Re: public-sector cyber tenders,"Hi Athena Forensics team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for digital forensics opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,info@csiq.co.uk,CSIQ,Re: public-sector cyber tenders,"Hi CSIQ team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for MSP cyber partner opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,info@cybergl.com,CyberGlobal,Re: public-sector cyber tenders,"Hi CyberGlobal team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for MSP cyber partner opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,hello@ebcgroup.co.uk,EBC Group,Re: public-sector cyber tenders,"Hi EBC Group team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for public-sector IT services opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,contact@public.digital,Public Digital,Re: public-sector cyber tenders,"Hi Public Digital team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for cyber consultancy opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,hello@bridewell.com,Bridewell,Re: public-sector cyber tenders,"Hi Bridewell team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for managed cyber services opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,response@nccgroup.com,NCC Group,Re: public-sector cyber tenders,"Hi NCC Group team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for public-sector cyber opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,sales@coreitech.co.uk,Coreitech,Re: public-sector cyber tenders,"Hi Coreitech team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for small-business cyber opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,info@i3secure.co.uk,i3Secure,Re: public-sector cyber tenders,"Hi i3Secure team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for public-sector cyber consultancy opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,contact@arcanum-cyber.com,Arcanum Cyber,Re: public-sector cyber tenders,"Hi Arcanum Cyber team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for NCSC assured cyber consultancy opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,hello@diskingit.co.uk,Disking IT,Re: public-sector cyber tenders,"Hi Disking IT team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for public-sector IT and cyber support opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
cybertenderbusiness@gmail.com,sales@intaforensics.com,IntaForensics,Re: public-sector cyber tenders,"Hi IntaForensics team,

Quick follow-up. CyberTender Radar is built for teams that do not want to check procurement portals every morning.

It filters official sources for digital forensics and cyber security opportunities and links back to the original notices so your team can verify fit quickly.

Live feed: https://shmghub.github.io/cybertender-radar/
Scout feed: https://cybertender.gumroad.com/l/msidq

Worth trying for your bid pipeline?

Thanks,
CyberTender Radar

If this is not relevant, reply ""no"" and there will be no further follow-up.",followup_due,2026-07-06
